nGames:52339
15,   130.62371475632648,   129.67888029463094,   128.46185714099497,   142.46548859398442,   
14,   142.85430670236718,   143.65048794700465,   145.76896915578914,   143.79309373330588,   
13,   143.3406704493193,   145.11223555869307,   148.94028655023584,   143.13676779916315,   
12,   144.04103550466112,   144.19018486619387,   143.5488112638086,   146.43029136937432,   
11,   143.41126671468388,   146.72785964082132,   141.4911622624494,   143.26800238006211,   
10,   144.84244254154484,   143.46638119063587,   143.8757888816392,   145.7816212169609,   
9,   147.7507746240441,   146.20561354233683,   144.8683678420361,   144.951632236327,   
8,   135.68646025782215,   133.04801125393942,   135.58979920435362,   152.36700752317506,   
7,   143.29618316584032,   145.21969181497246,   143.44330381264615,   142.92911987163336,   
6,   144.82508970600628,   147.32389606280844,   143.92098143450883,   143.4615260200885,   
5,   147.6283327166483,   145.00739984423535,   144.1785224715237,   145.1516964672931,   
4,   132.89610832026173,   135.4949834302503,   152.6729403343968,   132.97045865122854,   
3,   146.84060815014416,   142.0701742556112,   142.30337227194445,   145.82294053446745,   
2,   137.01371502323494,   149.75560775320247,   136.228176052188,   139.33935933026743,   
1,   149.6996186814648,   139.19319598087824,   138.0790341706959,   135.4043507103037,   
0,   144.05303978523222,   145.93522754396395,   144.78564387736435,   141.37822306802065,   
